,departure,arrival,transfers,first_mile_mode,first_mile_duration,last_mile_mode,last_mile_duration
0,2025-06-16 02:02:00,2025-06-16 03:07:00,2,taxi,13,walk,7
1,2025-06-16 03:02:00,2025-06-16 04:14:00,2,taxi,13,walk,11
2,2025-06-16 03:07:00,2025-06-16 05:14:00,2,walk,7,walk,3
3,2025-06-16 04:02:00,2025-06-16 05:14:00,2,taxi,13,walk,3
4,2025-06-16 04:09:00,2025-06-16 06:06:00,4,walk,14,walk,8
5,2025-06-16 04:13:00,2025-06-16 06:06:00,5,taxi,5,walk,8
6,2025-06-16 04:42:00,2025-06-16 06:16:00,2,walk,7,walk,3
7,2025-06-16 05:02:00,2025-06-16 06:16:00,2,taxi,13,walk,3
8,2025-06-16 05:42:00,2025-06-16 07:16:00,2,walk,7,walk,3
9,2025-06-16 06:02:00,2025-06-16 07:16:00,2,taxi,13,walk,3
10,2025-06-16 06:07:00,2025-06-16 08:16:00,2,walk,7,walk,3
11,2025-06-16 07:02:00,2025-06-16 08:16:00,2,taxi,13,walk,3
12,2025-06-16 07:07:00,2025-06-16 09:16:00,2,walk,7,walk,3
13,2025-06-16 07:09:00,2025-06-16 09:06:00,4,walk,14,walk,8
14,2025-06-16 07:09:00,2025-06-16 09:16:00,3,walk,14,walk,3
15,2025-06-16 07:13:00,2025-06-16 09:06:00,5,taxi,5,walk,8
16,2025-06-16 08:02:00,2025-06-16 09:16:00,2,taxi,13,walk,3
17,2025-06-16 08:07:00,2025-06-16 10:16:00,2,walk,7,walk,3
18,2025-06-16 09:02:00,2025-06-16 10:16:00,2,taxi,13,walk,3
19,2025-06-16 09:05:00,2025-06-16 11:06:00,4,walk,14,walk,8
20,2025-06-16 09:07:00,2025-06-16 11:14:00,2,walk,7,walk,3
21,2025-06-16 09:09:00,2025-06-16 11:06:00,5,taxi,5,walk,8
22,2025-06-16 10:02:00,2025-06-16 11:14:00,2,taxi,13,walk,3
23,2025-06-16 10:07:00,2025-06-16 12:14:00,2,walk,7,walk,3
24,2025-06-16 11:02:00,2025-06-16 12:14:00,2,taxi,13,walk,3
25,2025-06-16 11:05:00,2025-06-16 13:06:00,4,walk,14,walk,8
26,2025-06-16 11:07:00,2025-06-16 13:14:00,2,walk,7,walk,3
27,2025-06-16 11:09:00,2025-06-16 13:06:00,5,taxi,5,walk,8
28,2025-06-16 12:02:00,2025-06-16 13:14:00,2,taxi,13,walk,3
29,2025-06-16 12:07:00,2025-06-16 14:14:00,2,walk,7,walk,3
30,2025-06-16 13:02:00,2025-06-16 14:14:00,2,taxi,13,walk,3
31,2025-06-16 13:05:00,2025-06-16 14:48:00,2,walk,14,walk,4
32,2025-06-16 13:07:00,2025-06-16 15:16:00,2,walk,7,walk,3
33,2025-06-16 13:09:00,2025-06-16 14:48:00,3,taxi,5,walk,4
34,2025-06-16 14:02:00,2025-06-16 15:16:00,2,taxi,13,walk,3
35,2025-06-16 14:07:00,2025-06-16 16:16:00,2,walk,7,walk,3
36,2025-06-16 15:02:00,2025-06-16 16:16:00,2,taxi,13,walk,3
37,2025-06-16 15:05:00,2025-06-16 17:07:00,4,walk,14,walk,9
38,2025-06-16 15:07:00,2025-06-16 17:15:00,2,walk,7,walk,3
39,2025-06-16 15:09:00,2025-06-16 17:07:00,5,taxi,5,walk,9
40,2025-06-16 15:50:00,2025-06-16 18:07:00,3,walk,14,walk,9
41,2025-06-16 15:50:00,2025-06-17 14:48:00,1,walk,14,walk,4
42,2025-06-16 16:02:00,2025-06-16 17:15:00,2,taxi,13,walk,3
43,2025-06-16 16:07:00,2025-06-16 18:15:00,2,walk,7,walk,3
44,2025-06-16 17:02:00,2025-06-16 18:15:00,2,taxi,13,walk,3
45,2025-06-16 17:07:00,2025-06-16 19:14:00,2,walk,7,walk,11
46,2025-06-16 18:02:00,2025-06-16 19:14:00,2,taxi,13,walk,11
47,2025-06-16 18:07:00,2025-06-16 20:16:00,2,walk,7,walk,3
48,2025-06-16 19:02:00,2025-06-16 20:16:00,2,taxi,13,walk,3
49,2025-06-16 19:07:00,2025-06-16 21:16:00,2,walk,7,walk,3
50,2025-06-16 20:02:00,2025-06-16 21:16:00,2,taxi,13,walk,3
